SWIS Number,Site Name,Activity,Waste Type,Site Is Archived,Site Operational Status,Site Regulatory Status,Site Type,Latitude,Longitude,Point of Contact,Activity Is Archived,Activity Operational Status,Activity Regulatory Status,Activity Category,Activity Classification
49-AA-0423,SCWS Emergency CDI Processing,Emergency CDI Debris Processing Operation,Inert,No,Active,Notification,Non-Disposal Only,38.52351,-122.79096,Alyssa Williams,No,Active,Notification,Transfer/Processing,Solid Waste Operation
37-AA-0951,Julian Recycling Center,Emergency CDI Debris Processing Operation,Inert,Yes,Closed,Notification,Non-Disposal Only,33.08155,-116.63532,Cody Oquendo,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
37-AA-0951,Julian Recycling Center,Emergency CDI Debris Processing Operation,Metals,Yes,Closed,Notification,Non-Disposal Only,33.08155,-116.63532,Cody Oquendo,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
20-AA-0036,North Fork Biomass Disposal Facility,Emergency Transfer/Processing Operation,Wood waste,No,Active,Notification,Non-Disposal Only,37.23649,-119.49231,Margaret Comotto,No,Active,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0413,Emergency Transfer Station #1,Emergency Transfer/Processing Operation,Mixed municipal,No,Inactive,Notification,Non-Disposal Only,38.50195,-123.00288,Alyssa Williams,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation
36-AA-0428,Arrowhead Forest Products,Emergency Transfer/Processing Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,34.26272,-117.16112,Megan Emslander,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
36-AA-0428,Arrowhead Forest Products,Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,34.26272,-117.16112,Megan Emslander,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0415,Emergence Transfer Station #3,Emergency Transfer/Processing Operation,Mixed municipal,Yes,Closed,Notification,Non-Disposal Only,38.47271,-123.00227,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
31-AA-0639,Newcastle Debris Management Site,Emergency Transfer/Processing Operation,Green Materials,Yes,Active,Notification,Non-Disposal Only,38.87685,-121.1242,John Loane,Yes,Active,Notification,Transfer/Processing,Solid Waste Operation
31-AA-0639,Newcastle Debris Management Site,Emergency Transfer/Processing Operation,Wood waste,Yes,Active,Notification,Non-Disposal Only,38.87685,-121.1242,John Loane,Yes,Active,Notification,Transfer/Processing,Solid Waste Operation
22-AA-0014,Emergency Tree Debris Operation,Emergency Transfer/Processing Operation,Green Materials,No,Closed,Notification,Non-Disposal Only,37.50245,-120.00726,Kelsey Orr,No,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0428,Taylor Storage and Salvage Operations,Emergency Transfer/Processing Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,34.04795,-118.16813,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0428,Taylor Storage and Salvage Operations,Emergency Transfer/Processing Operation,Inert,Yes,Closed,Notification,Non-Disposal Only,34.04795,-118.16813,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0428,Taylor Storage and Salvage Operations,Emergency Transfer/Processing Operation,Metals,Yes,Closed,Notification,Non-Disposal Only,34.04795,-118.16813,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0428,Taylor Storage and Salvage Operations,Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,34.04795,-118.16813,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
04-AA-0035,PRS Emergency Fire Debris T/S,Emergency Transfer/Processing Operation,Metals,Yes,Closed,Notification,Non-Disposal Only,39.63231,-121.63088,Eric Kiruja,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
04-AA-0035,PRS Emergency Fire Debris T/S,Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,39.63231,-121.63088,Eric Kiruja,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0431,Temporary Emergency Transfer Station #2,Emergency Transfer/Processing Operation,Mixed municipal,No,Inactive,Notification,Non-Disposal Only,38.51516,-122.97584,Alyssa Williams,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0173,Toland Road Landfill Concrete Processing,Emergency Transfer/Processing Operation,Construction/demolition,Yes,Closed,Notification,Non-Disposal Only,34.4025,-118.99806,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0173,Toland Road Landfill Concrete Processing,Emergency Transfer/Processing Operation,Inert,Yes,Closed,Notification,Non-Disposal Only,34.4025,-118.99806,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0173,Toland Road Landfill Concrete Processing,Emergency Transfer/Processing Operation,Metals,Yes,Closed,Notification,Non-Disposal Only,34.4025,-118.99806,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0441,Atlas Tree Surgery Reduction Yard,Emergency Transfer/Processing Operation,Green Materials,No,Active,Notification,Non-Disposal Only,38.52237,-122.7909,Alyssa Williams,No,Active,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0441,Atlas Tree Surgery Reduction Yard,Emergency Transfer/Processing Operation,Wood waste,No,Active,Notification,Non-Disposal Only,38.52237,-122.7909,Alyssa Williams,No,Active,Notification,Transfer/Processing,Solid Waste Operation
20-AA-0037,Oakhurst Temp. Debris Sorting and Reduct,Emergency Transfer/Processing Operation,Green Materials,No,Active,Notification,Non-Disposal Only,37.33857,-119.6657,Margaret Comotto,No,Active,Notification,Transfer/Processing,Solid Waste Operation
20-AA-0037,Oakhurst Temp. Debris Sorting and Reduct,Emergency Transfer/Processing Operation,Wood waste,No,Active,Notification,Non-Disposal Only,37.33857,-119.6657,Margaret Comotto,No,Active,Notification,Transfer/Processing,Solid Waste Operation
10-AA-0230,Auberry Temporary Debris Reduction,Emergency Transfer/Processing Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,37.06452,-119.49115,Kate Whitney,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
10-AA-0230,Auberry Temporary Debris Reduction,Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,37.06452,-119.49115,Kate Whitney,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
36-AA-0431,Viramontes Express,Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,34.26138,-117.10202,Megan Emslander,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
55-AA-0014,Sonora Mill Temp. Debris Sorting&Removal,Emergency Transfer/Processing Operation,Wood waste,No,Active,Notification,Non-Disposal Only,37.96409,-120.32275,Margaret Comotto,No,Active,Notification,Transfer/Processing,Solid Waste Operation
10-AA-0231,Shaver Lake DMS,Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,37.0667,-119.3582,Kate Whitney,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0434,Temporary Emergency Transfer Station #5,Emergency Transfer/Processing Operation,Mixed municipal,No,Inactive,Notification,Non-Disposal Only,38.47179,-123.04752,Alyssa Williams,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0436,Temporary Emergency Transfer Station #7,Emergency Transfer/Processing Operation,Mixed municipal,No,Inactive,Notification,Non-Disposal Only,38.50291,-122.93412,Alyssa Williams,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation
54-AA-0057,Tree Mortality Abatement Project,Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,35.81105,-118.65698,Joy Isaacson,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0174,Ventura County Fairgrounds Emergency T/S,Emergency Transfer/Processing Operation,Construction/demolition,Yes,Closed,Notification,Non-Disposal Only,34.27623,-119.29844,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0174,Ventura County Fairgrounds Emergency T/S,Emergency Transfer/Processing Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,34.27623,-119.29844,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0174,Ventura County Fairgrounds Emergency T/S,Emergency Transfer/Processing Operation,Inert,Yes,Closed,Notification,Non-Disposal Only,34.27623,-119.29844,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0174,Ventura County Fairgrounds Emergency T/S,Emergency Transfer/Processing Operation,Metals,Yes,Closed,Notification,Non-Disposal Only,34.27623,-119.29844,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0174,Ventura County Fairgrounds Emergency T/S,Emergency Transfer/Processing Operation,Other designated,Yes,Closed,Notification,Non-Disposal Only,34.27623,-119.29844,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0176,Pacific Rock Emergency Debris Removal,Emergency Transfer/Processing Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,34.1844,-118.99805,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0176,Pacific Rock Emergency Debris Removal,Emergency Transfer/Processing Operation,Inert,Yes,Closed,Notification,Non-Disposal Only,34.1844,-118.99805,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
04-AA-0033,"Wrecking Crew Demoltion, Inc",Emergency Transfer/Processing Operation,Metals,No,Active,Notification,Non-Disposal Only,39.73578,-121.609,Eric Kiruja,No,Active,Notification,Transfer/Processing,Solid Waste Operation
04-AA-0033,"Wrecking Crew Demoltion, Inc",Emergency Transfer/Processing Operation,Construction/demolition,No,Active,Notification,Non-Disposal Only,39.73578,-121.609,Eric Kiruja,No,Active,Notification,Transfer/Processing,Solid Waste Operation
36-AA-0432,"Los Angeles Waste Industries, Inc.",Emergency Transfer/Processing Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,34.26202,-117.15967,Megan Emslander,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
36-AA-0432,"Los Angeles Waste Industries, Inc.",Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,34.26202,-117.15967,Megan Emslander,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0424,USEPA Region 9 FEMA Staging Area,Emergency Transfer/Processing Operation,Contaminated soil,Yes,Closed,Notification,Non-Disposal Only,38.60209,-122.85435,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0424,USEPA Region 9 FEMA Staging Area,Emergency Transfer/Processing Operation,Other hazardous,Yes,Closed,Notification,Non-Disposal Only,38.60209,-122.85435,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0424,USEPA Region 9 FEMA Staging Area,Emergency Transfer/Processing Operation,Asbestos,Yes,Closed,Notification,Non-Disposal Only,38.60209,-122.85435,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0424,USEPA Region 9 FEMA Staging Area,Emergency Transfer/Processing Operation,"Asbestos, friable",Yes,Closed,Notification,Non-Disposal Only,38.60209,-122.85435,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0424,USEPA Region 9 FEMA Staging Area,Emergency Transfer/Processing Operation,Ash,Yes,Closed,Notification,Non-Disposal Only,38.60209,-122.85435,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
42-AA-0084,Foothill Closed Landfill Emergency T/S,Emergency Transfer/Processing Operation,Other designated,Yes,Closed,Notification,Non-Disposal Only,34.44671,-119.77288,Gina Weber,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
56-AA-0175,Inert Debris Emergency Processing Op #1,Emergency Transfer/Processing Operation,Inert,Yes,Closed,Notification,Non-Disposal Only,34.21692,-119.25907,Theodore Tasiopoulos,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0418,Emergency Transfer Station #6,Emergency Transfer/Processing Operation,Mixed municipal,Yes,Closed,Notification,Non-Disposal Only,38.46818,-123.01192,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0416,Emergency Transfer Station #4,Emergency Transfer/Processing Operation,Mixed municipal,Yes,Closed,Notification,Non-Disposal Only,38.46787,-123.00523,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0417,Emergency Transfer Station #5,Emergency Transfer/Processing Operation,Mixed municipal,Yes,Closed,Notification,Non-Disposal Only,38.46238,-123.00931,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
36-AA-0429,Bradco Environmental,Emergency Transfer/Processing Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,34.23229,-117.17101,Megan Emslander,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
36-AA-0429,Bradco Environmental,Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,34.23229,-117.17101,Megan Emslander,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
37-AA-0962,Daily Disposal Services Emergency Debris,Emergency Transfer/Processing Operation,Ash,No,Closed,TBD (Pending Investigation) ,Non-Disposal Only,32.90537,-116.9375,Cody Oquendo,No,Closed,To Be Determined,Transfer/Processing,Solid Waste Operation
37-AA-0962,Daily Disposal Services Emergency Debris,Emergency Transfer/Processing Operation,Construction/demolition,No,Closed,TBD (Pending Investigation) ,Non-Disposal Only,32.90537,-116.9375,Cody Oquendo,No,Closed,To Be Determined,Transfer/Processing,Solid Waste Operation
37-AA-0962,Daily Disposal Services Emergency Debris,Emergency Transfer/Processing Operation,Metals,No,Closed,TBD (Pending Investigation) ,Non-Disposal Only,32.90537,-116.9375,Cody Oquendo,No,Closed,To Be Determined,Transfer/Processing,Solid Waste Operation
37-AA-0962,Daily Disposal Services Emergency Debris,Emergency Transfer/Processing Operation,Mixed municipal,No,Closed,TBD (Pending Investigation) ,Non-Disposal Only,32.90537,-116.9375,Cody Oquendo,No,Closed,To Be Determined,Transfer/Processing,Solid Waste Operation
49-AA-0414,Emergency Transfer Station #2,Emergency Transfer/Processing Operation,Mixed municipal,Yes,Closed,Notification,Non-Disposal Only,38.49868,-123.00236,Alyssa Williams,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0433,Temporary Emergency Transfer Station #4,Emergency Transfer/Processing Operation,Mixed municipal,No,Inactive,Notification,Non-Disposal Only,38.51952,-122.97944,Alyssa Williams,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0432,Temporary Emergency Transfer Station #3,Emergency Transfer/Processing Operation,Mixed municipal,No,Inactive,Notification,Non-Disposal Only,38.4681,-123.01178,Alyssa Williams,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0435,Temporary Emergency Transfer Station #6,Emergency Transfer/Processing Operation,Mixed municipal,No,Inactive,Notification,Non-Disposal Only,38.49318,-122.89514,Alyssa Williams,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0437,Temporary Emergency Transfer Station #8,Emergency Transfer/Processing Operation,Mixed municipal,No,Inactive,Notification,Non-Disposal Only,38.51424,-122.99614,Alyssa Williams,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation
29-AA-0018,Bear River Debris Management Site,Emergency Transfer/Processing Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,39.19064,-121.05123,Kate Whitney,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
29-AA-0018,Bear River Debris Management Site,Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,39.19064,-121.05123,Kate Whitney,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
09-AA-0012,Placerville Debris Management Site,Emergency Transfer/Processing Operation,Green Materials,Yes,Active,Notification,Non-Disposal Only,38.74625,-120.93178,John Loane,Yes,Active,Notification,Transfer/Processing,Solid Waste Operation
36-AA-0430,"Southland Wood Products, Inc.",Emergency Transfer/Processing Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,34.26374,-117.16537,Megan Emslander,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
36-AA-0430,"Southland Wood Products, Inc.",Emergency Transfer/Processing Operation,Wood waste,Yes,Closed,Notification,Non-Disposal Only,34.26374,-117.16537,Megan Emslander,Yes,Closed,Notification,Transfer/Processing,Solid Waste Operation
49-AA-0438,Temporary Emergency Transfer Station #9,Emergency Transfer/Processing Operation,Mixed municipal,No,Inactive,Notification,Non-Disposal Only,38.70552,-122.90191,Alyssa Williams,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation
36-AA-0484,CEMEX Black Mountain Quarry EMSW,Engineered Municipal Solid Waste Conversion,Tires,No,Active,Permitted,Non-Disposal Only,34.62213,-117.09891,Megan Emslander,No,Active,Permitted,EMSW Conversion,Solid Waste Facility
36-AA-0484,CEMEX Black Mountain Quarry EMSW,Engineered Municipal Solid Waste Conversion,Engineered Municipal Solid Waste,No,Active,Permitted,Non-Disposal Only,34.62213,-117.09891,Megan Emslander,No,Active,Permitted,EMSW Conversion,Solid Waste Facility
36-AA-0493,KORE Infrastructure Plant #1,Engineered Municipal Solid Waste Conversion,Engineered Municipal Solid Waste,Yes,Planned,Migration NULL,Non-Disposal Only,34.03156,-117.36614,Megan Emslander,Yes,Planned,Surrendered,EMSW Conversion,Solid Waste Facility
15-AA-0402,Lehigh Southwest Cement Company,Engineered Municipal Solid Waste Conversion,Engineered Municipal Solid Waste,No,Active,Permitted,Non-Disposal Only,35.12382,-118.37655,Christine Karl,No,Active,Permitted,EMSW Conversion,Solid Waste Facility
34-AA-0234,Strategic Materials,Glass Container Processing Operation,Inert,Yes,Active,Notification,Non-Disposal Only,38.52148,-121.37659,Alyssa Williams,Yes,Active,Notification,Transfer/Processing,Solid Waste Operation
33-AA-0243,Scotts Riverside Cty Regional Composting,Green Material Composting Facility,Green Materials,Yes,Closed,Permitted,Non-Disposal Only,33.98333,-117.51667,Theodore Tasiopoulos,Yes,Closed,Permitted,Composting,Solid Waste Facility
30-AB-0372,"Sierra Soils, Inc.",Green Material Composting Facility,Green Materials,Yes,Closed,Notification,Non-Disposal Only,33.49445,-117.61639,Megan Emslander,Yes,Closed,Notification,Composting,Solid Waste Facility
30-AB-0372,"Sierra Soils, Inc.",Green Material Composting Facility,Manure,Yes,Closed,Notification,Non-Disposal Only,33.49445,-117.61639,Megan Emslander,Yes,Closed,Notification,Composting,Solid Waste Facility
36-AA-0305,Chino Corona Farms Composting Facility  ,Green Material Composting Facility,Agricultural,Yes,Planned,Proposed,Non-Disposal Only,34.06667,-117.16667,Megan Emslander,Yes,Planned,Proposed,Composting,Solid Waste Facility
36-AA-0305,Chino Corona Farms Composting Facility  ,Green Material Composting Facility,Green Materials,Yes,Planned,Proposed,Non-Disposal Only,34.06667,-117.16667,Megan Emslander,Yes,Planned,Proposed,Composting,Solid Waste Facility
36-AA-0305,Chino Corona Farms Composting Facility  ,Green Material Composting Facility,Industrial,Yes,Planned,Proposed,Non-Disposal Only,34.06667,-117.16667,Megan Emslander,Yes,Planned,Proposed,Composting,Solid Waste Facility
36-AA-0305,Chino Corona Farms Composting Facility  ,Green Material Composting Facility,Mixed municipal,Yes,Planned,Proposed,Non-Disposal Only,34.06667,-117.16667,Megan Emslander,Yes,Planned,Proposed,Composting,Solid Waste Facility
36-AA-0305,Chino Corona Farms Composting Facility  ,Green Material Composting Facility,Sludge (BioSolids),Yes,Planned,Proposed,Non-Disposal Only,34.06667,-117.16667,Megan Emslander,Yes,Planned,Proposed,Composting,Solid Waste Facility
57-AA-0031,Riverside Aggregates Inc.,Green Material Composting Facility,Green Materials,Yes,Closed,Notification,Non-Disposal Only,38.56933,-121.54967,Alyssa Williams,Yes,Closed,Notification,Composting,Solid Waste Facility
57-AA-0031,Riverside Aggregates Inc.,Green Material Composting Facility,Wood waste,Yes,Closed,Notification,Non-Disposal Only,38.56933,-121.54967,Alyssa Williams,Yes,Closed,Notification,Composting,Solid Waste Facility
04-AA-0030,"Old Durham Wood, Inc.",Green Material Composting Facility,Green Materials,No,Active,Permitted,Non-Disposal Only,39.6568,-121.743,Eric Kiruja,No,Active,Permitted,Composting,Solid Waste Facility
33-AA-0282,Cathedral City Greenwaste               ,Green Material Composting Facility,Green Materials,Yes,Planned,TBD (Pending Investigation) ,Non-Disposal Only,33.96667,-117.36667,Theodore Tasiopoulos,Yes,Planned,To Be Determined,Composting,Solid Waste Facility
27-AA-0084,"Cranford, Incorporated",Green Material Composting Facility,Green Materials,No,Closed,Permitted,Non-Disposal Only,36.62717,-121.65428,Eric Kiruja,No,Closed,Permitted,Composting,Solid Waste Facility
27-AA-0087,Carl Witt Organic Fertilizer,Green Material Composting Facility,Green Materials,Yes,Closed,Surrendered,Non-Disposal Only,36.71528,-121.77222,Eric Kiruja,Yes,Closed,Surrendered,Composting,Solid Waste Facility
12-AA-0097,Yager Camp Composting Facility,Green Material Composting Facility,Green Materials,Yes,Inactive,Revoked,Non-Disposal Only,40.54568,-124.08668,Eric Kiruja,Yes,Inactive,Revoked,Composting,Solid Waste Facility
16-AA-0016,KWRA Composting Facility,Green Material Composting Facility,Agricultural,No,Closed,Permitted,Non-Disposal Only,36.30571,-119.59904,Harprit Mattu,No,Closed,Permitted,Composting,Solid Waste Facility
16-AA-0016,KWRA Composting Facility,Green Material Composting Facility,Construction/demolition,No,Closed,Permitted,Non-Disposal Only,36.30571,-119.59904,Harprit Mattu,No,Closed,Permitted,Composting,Solid Waste Facility
16-AA-0016,KWRA Composting Facility,Green Material Composting Facility,Green Materials,No,Closed,Permitted,Non-Disposal Only,36.30571,-119.59904,Harprit Mattu,No,Closed,Permitted,Composting,Solid Waste Facility
16-AA-0016,KWRA Composting Facility,Green Material Composting Facility,Wood waste,No,Closed,Permitted,Non-Disposal Only,36.30571,-119.59904,Harprit Mattu,No,Closed,Permitted,Composting,Solid Waste Facility
49-AA-0260,Central Compost Site,Green Material Composting Facility,Green Materials,Yes,Closed,Permitted,Non-Disposal Only,38.30362,-122.75242,Alyssa Williams,Yes,Closed,Permitted,Composting,Solid Waste Facility
45-AA-0059,City Of Redding Transfer Station/MRF,Green Material Composting Facility,Green Materials,No,Active,Permitted,Non-Disposal Only,40.575,-122.31296,Kelsey Orr,No,Active,Permitted,Composting,Solid Waste Facility
36-AA-0413,Fort Irwin Composting Facility (FICO),Green Material Composting Facility,Green Materials,No,Active,Notification,Non-Disposal Only,35.2747,-116.67103,Megan Emslander,No,Active,Notification,Composting,Solid Waste Facility
36-AA-0413,Fort Irwin Composting Facility (FICO),Green Material Composting Facility,Wood waste,No,Active,Notification,Non-Disposal Only,35.2747,-116.67103,Megan Emslander,No,Active,Notification,Composting,Solid Waste Facility
37-AA-0905,Organic Recycling West,Green Material Composting Facility,Green Materials,Yes,Closed,Surrendered,Non-Disposal Only,32.575,-116.965,Cody Oquendo,Yes,Closed,Surrendered,Composting,Solid Waste Facility
37-AA-0905,Organic Recycling West,Green Material Composting Facility,Manure,Yes,Closed,Surrendered,Non-Disposal Only,32.575,-116.965,Cody Oquendo,Yes,Closed,Surrendered,Composting,Solid Waste Facility
37-AA-0905,Organic Recycling West,Green Material Composting Facility,Wood waste,Yes,Closed,Surrendered,Non-Disposal Only,32.575,-116.965,Cody Oquendo,Yes,Closed,Surrendered,Composting,Solid Waste Facility
50-AA-0022,Silveria Orgainic MaterialComposting Fac,Green Material Composting Facility,Agricultural,Yes,Planned,Proposed,Non-Disposal Only,37.73333,-120.93333,Justin Vlach,Yes,Planned,Proposed,Composting,Solid Waste Facility
50-AA-0022,Silveria Orgainic MaterialComposting Fac,Green Material Composting Facility,Green Materials,Yes,Planned,Proposed,Non-Disposal Only,37.73333,-120.93333,Justin Vlach,Yes,Planned,Proposed,Composting,Solid Waste Facility
30-AB-0473,Ranscapes INC.,Green Material Composting Facility,Green Materials,No,Active,Notification,Non-Disposal Only,33.6607,-117.73566,Megan Emslander,No,Active,Notification,Composting,Solid Waste Facility
15-AA-0057,Shafter-Wasco Recycling & Sanitary LF,Green Material Composting Facility,Green Materials,No,Active,Permitted,Both Disposal and Non-Disposal,35.51042,-119.41085,Christine Karl,No,Absorbed,Not Currently Regulated,Composting,Solid Waste Facility
34-AA-0206,Florin- Perkins Chip/Grind,Green Material Composting Facility,Construction/demolition,Yes,Inactive,Unpermitted,Non-Disposal Only,38.53695,-121.38889,Alyssa Williams,Yes,Inactive,Unpermitted,Composting,Solid Waste Facility
34-AA-0206,Florin- Perkins Chip/Grind,Green Material Composting Facility,Green Materials,Yes,Inactive,Unpermitted,Non-Disposal Only,38.53695,-121.38889,Alyssa Williams,Yes,Inactive,Unpermitted,Composting,Solid Waste Facility
34-AA-0206,Florin- Perkins Chip/Grind,Green Material Composting Facility,Wood waste,Yes,Inactive,Unpermitted,Non-Disposal Only,38.53695,-121.38889,Alyssa Williams,Yes,Inactive,Unpermitted,Composting,Solid Waste Facility
30-AB-0371,Murai Farms Compost Facility,Green Material Composting Facility,Green Materials,Yes,Closed,Surrendered,Non-Disposal Only,33.65445,-117.78028,Megan Emslander,Yes,Closed,Surrendered,Composting,Solid Waste Facility
24-AA-0018,Atlas Materials Inc. - White Crane Ranch,Green Material Composting Facility,Green Materials,Yes,Closed,Permitted,Non-Disposal Only,37.31444,-120.70222,Harprit Mattu,Yes,Closed,Permitted,Composting,Solid Waste Facility
15-AA-0150,"Main Base Sanitary Landfill, Edwards AFB",Green Material Composting Facility,Green Materials,No,Active,Permitted,Both Disposal and Non-Disposal,34.95605,-117.95627,Christine Karl,No,Active,Permitted,Composting,Solid Waste Facility
15-AA-0365,Mt. Vernon Temporary Windrow Facility,Green Material Composting Facility,Green Materials,Yes,Absorbed,Permitted,Non-Disposal Only,35.32753,-118.9675,Christine Karl,Yes,Absorbed,Permitted,Composting,Solid Waste Facility
48-AA-0088,Goodyear Road Compost Facility,Green Material Composting Facility,Green Materials,No,Active,Permitted,Non-Disposal Only,38.15487,-122.10769,Harprit Mattu,No,Active,Permitted,Composting,Solid Waste Facility
34-AA-0191,"Waste Management Recycle America, LLC",Green Material Composting Facility,Green Materials,No,Active,Permitted,Non-Disposal Only,38.54306,-121.41306,Alyssa Williams,Yes,Active,Permitted,Composting,Solid Waste Facility
34-AA-0191,"Waste Management Recycle America, LLC",Green Material Composting Facility,Wood waste,No,Active,Permitted,Non-Disposal Only,38.54306,-121.41306,Alyssa Williams,Yes,Active,Permitted,Composting,Solid Waste Facility
57-AA-0029,Northern Recycling Compost - Zamora,Green Material Composting Facility,Green Materials,No,Active,Permitted,Non-Disposal Only,38.77564,-121.88007,Alyssa Williams,No,Active,Permitted,Composting,Solid Waste Facility
34-AA-0203,"Lopez Ag Service, Inc.",Green Material Composting Facility,Agricultural,No,Active,Permitted,Non-Disposal Only,38.49636,-121.26253,Alyssa Williams,No,Active,Permitted,Composting,Solid Waste Facility
34-AA-0203,"Lopez Ag Service, Inc.",Green Material Composting Facility,Construction/demolition,No,Active,Permitted,Non-Disposal Only,38.49636,-121.26253,Alyssa Williams,No,Active,Permitted,Composting,Solid Waste Facility
34-AA-0203,"Lopez Ag Service, Inc.",Green Material Composting Facility,Green Materials,No,Active,Permitted,Non-Disposal Only,38.49636,-121.26253,Alyssa Williams,No,Active,Permitted,Composting,Solid Waste Facility
