SWIS Number,Site Name,Site Operational Status,Site Type,Site Regulatory Status,Latitude,Longitude,Is Archived,Operator,Started On,Contact Name,Contact First Name,Contact Last Name,Contact Title,Contact Email,Contact Phone,Street Address,OperatorCity,OperatorState,OperatorZip,County
37-AA-0023,Sycamore Landfill,Active,Both Disposal and Non-Disposal,Permitted,32.86232,-117.02538,No,"Sycamore Landfill, Incorporated",1/15/2013, ,,,,,(619) 562-0530,8514 Mast Boulevard,Santee,CA,92071,San Diego
36-AA-0473,Villa Park Landscape,Active,Non-Disposal Only,Notification,34.09378,-117.51872,No,Villa Park Landscape,2/20/2013, ,,,,,(714) 538-3788,739 B. West Ketella Ave.,Orange,CA,92867,San Bernardino
43-AN-0032,"ECO Box Recycling, Inc.",Absorbed,Non-Disposal Only,Surrendered,37.36614,-121.87824,No,"ECO Box Recycling, Inc.",7/5/2013, ,,,,,(408) 639-1373,Jose Vasquez 1255 Yard Court,San Jose,CA,95133,Santa Clara
36-AA-0483,"Residuals Recovery Group, Inc.",Active,Non-Disposal Only,Notification,33.9966,-117.6434,No,"Residuals Recovery Group, Inc.",10/30/2014, ,,,,,(909) 902-0408,Allen Shelby P.O. Box 17482,Anahiem Hills,CA,92817,San Bernardino
30-AB-0467,Anaheim Sustainability Center,Planned,Non-Disposal Only,Proposed,33.86314,-117.81749,No,"Anaheim Energy, LLC",7/20/2016, ,,,,,,"5860 Fleet St., Ste. 310",Carlsbad,CA,92008,Orange
36-AA-0496,Ontario Agricultural Commodities/Regreen,Active,Non-Disposal Only,Notification,33.99685,-117.6444,No,Ontario Agricultural Commodities,10/5/2016, ,,,,,(951) 788-6042,PO Box 79200,Corona,CA,92877,San Bernardino
39-AA-0002,French Camp Landfill,Closed,Disposal Only,Permitted,37.91431,-121.29024,No,Forward Inc./ Allied Waste Industries,11/30/2016, ,,,,,,P.O. Box 6336,Stockton,CA,92560,San Joaquin
37-AA-0946,Evergreen Nursery Compost Operation,Active,Non-Disposal Only,Notification,33.2026,-117.3274,No,"Evergreen Distributors, Inc.",1/26/2017,Mark Collins,Mark,Collins,,,(858) 481-1434,dab Evergreen Nursery P.O. Box 503130,San Diego,CA,92150,San Diego
37-AA-0992,Evergreen Nursery Blossom Valley,Active,Non-Disposal Only,Notification,32.85617,-116.85874,No,"Evergreen Distributors, Inc.",4/27/2017,Mark Collins,Mark,Collins,,,(858) 481-1434,dab Evergreen Nursery P.O. Box 503130,San Diego,CA,92150,San Diego
37-AB-0027,CalAtlantic Homes,Active,Non-Disposal Only,Notification,33.00643,-117.14427,No,Black Mountain Ranch LLC,3/16/2017,Kurt Bruskotter,Kurt,Bruskotter,,,(858) 618-4912,"Cal Atlantic Homes 16464 Via Esprillo, Suite 150",San Diego,CA,92127,San Diego
54-AA-0057,Tree Mortality Abatement Project,Closed,Non-Disposal Only,Notification,35.81105,-118.65698,Yes,Tulare County Solid Waste Department,3/30/2017,Bryce Howard,Bryce,Howard,,,(559) 624-7200,5961 S.Mooney Blvd.,Visalia,CA,93277,Tulare
33-AA-0357,Lamb Canyon Compost Facility,Active,Non-Disposal Only,Permitted,33.88603,-116.99744,No,Riverside Co. Dept. of Waste Resources,12/31/2015,Fouad Mina,Fouad,Mina,,,(951) 486-3244,14310 Frederick St.,Moreno Valley,CA,92553,Riverside
33-CR-0011,Menifee,Closed,Disposal Only,Pre-regulation,33.7099,-117.1562,No,Riverside Co. Dept. of Waste Resources,12/31/2015,Fouad Mina,Fouad,Mina,,,(951) 486-3244,14310 Frederick St.,Moreno Valley,CA,92553,Riverside
33-AA-0007,Lamb Canyon Sanitary Landfill,Active,Disposal Only,Permitted,33.88389,-116.99722,No,Riverside Co. Dept. of Waste Resources,12/31/2015,Fouad Mina,Fouad,Mina,,,(951) 486-3244,14310 Frederick St.,Moreno Valley,CA,92553,Riverside
54-CR-0017,Exeter City Dump,Closed,Disposal Only,Unpermitted,36.21667,-119.14445,No,Pallot Depot,7/6/2017, ,,,,,(559) 562-1200,Rosie Lopez 19049 Ave. 242,Exeter,CA,93221,Tulare
33-AA-0367,CR&R Lakeview Research Composting,Active,Non-Disposal Only,Notification,33.84824,-117.05584,No,CR&R Incorporated,7/18/2017, ,,,,,(951) 943-1991,1706 Goetz Rd.,Perris,CA,92570,Riverside
12-AA-0127,Recology Humboldt County,Active,Non-Disposal Only,Permitted,40.81263,-124.1935,No,Recology Humboldt County,2/13/2018, ,,,,,(707) 442-5711,PO Box 188,Samoa,CA,95564,Humboldt
01-AA-0327,Tri-City Economic Development Corp.,Active,Non-Disposal Only,Unpermitted,37.59639,-122.033,No,Tri City Economic Development Corp.,3/14/2018, ,,,,,(510) 471-3850,33377 Western Ave.,Union City,CA,94587,Alameda
42-AA-0086,GSD Organic Materials to Energy  Project,Planned,Non-Disposal Only,TBD (Pending Investigation) ,34.42419,-119.83285,No,Goleta Sanitary District,5/17/2018, ,,,,,,1 William Mofetti Place,Goleta,CA,93117,Santa Barbara
01-CR-0052,Alameda County Flood Control,Closed,Disposal Only,Unpermitted,37.52703,-122.00666,No,Alameda County Flood Control,2/6/2019,Hank Ackerman,Hank,Ackerman,,,(510) 670-5553,399 Elmhurst Street,Hayward,CA,94545,Alameda
04-AA-0033,"Wrecking Crew Demoltion, Inc",Active,Non-Disposal Only,Notification,39.73578,-121.609,No,"Wrecking Crew Demolition, Inc",2/19/2019,Nick Rinauro,Nick,Rinauro,,,(916) 945-0245,3450 Palmer Dr #4-138,Cameron Park,CA,95682,Butte
02-AA-0011,Leviathan Mine,Active,Non-Disposal Only,Excluded,38.70389,-119.65611,No,Lahontan RWQCB,3/18/2019,Catherine Pool,Catherine,Pool,,,(530) 542-5460,501 Lake Tahoe Boulevard,South Lake Tahoe,CA,96150,Alpine
23-AA-0036,Fort Bragg Disposal,Active,Non-Disposal Only,Permitted,39.45,-123.8,No,WasteManagement Collection and Recycling,6/3/2015, ,,,,,(707) 462-2063,219 Pudding Creek Rd.,Fort Bragg,CA,95437,Mendocino
36-AA-0502,Mirage Agricultural Services,Active,Non-Disposal Only,Notification,34.60211,-117.583,No,"Progressive Organics Materials, LLC",7/22/2019, ,,,,,(310) 505-7170,"1209 Manhattan Ave., Ste. 296",Manhattan Beach,CA,90266,San Bernardino
15-CR-0078,Chevron #2 Burn Dump,Closed,Disposal Only,Pre-regulation,35.1447,-119.4297,No,Beard Family Trust,2/3/2020, ,,,,,(661) 765-5330,P.O. BOX 344,Taft,CA,93268,Kern
49-AA-0425,SCWS Wood Processing Operation,Active,Non-Disposal Only,Notification,38.52434,-122.79242,No,"Sonoma County Waste Solutions, LLC",2/27/2020,Kyistyn Byrne,Kyistyn,Byrne,,,,P.O. Box 1878,Windor,CA,95482,Sonoma
49-AA-0426,Pruitt Transload Facility,Active,Non-Disposal Only,Permitted,38.52335,-122.79175,No,"Sonoma County Waste Solutions, LLC",2/27/2020,Kyistyn Byrne,Kyistyn,Byrne,,,,P.O. Box 1878,Windor,CA,95482,Sonoma
47-AA-0059,UC Davis Cooperation Extension Siskiyou,Active,Non-Disposal Only,Notification,41.57324,-121.28222,No,Intermountain Research and Extension,4/8/2020,Rob Wilson,Rob,Wilson,,,(530) 667-5117,2816 Havlina Road,Tulelake,CA,96134,Siskiyou
06-AA-0024,Farmers Fresh Mushrooms California Inc.,Active,Non-Disposal Only,Notification,39.17752,-121.9952,No,Farmers Fresh Mushrooms California Inc.,5/6/2020, ,,,,,(530) 458-2700,2847 Niagra Avenue,Colusa,CA,95932,Colusa
31-AA-0560,Eastern Regional Landfill,Closed,Disposal Only,Permitted,39.29556,-120.21537,No,Tahoe Truckee Disposal Co Inc           ,8/16/1994,Silvano Archiro,Silvano,Archiro,Vice President,,(530) 583-0148,P.O. Box 135,Tahoe City,CA,96145-0135,Placer
31-AA-0620,Dutch Flat Transfer Station,Active,Non-Disposal Only,Permitted,39.18997,-120.83488,No,Tahoe Truckee Disposal Co Inc           ,8/16/1994,Silvano Archiro,Silvano,Archiro,Vice President,,(530) 583-0148,P.O. Box 135,Tahoe City,CA,96145-0135,Placer
43-AM-0001,City of Palo Alto Refuse Disposal Site,Closed,Both Disposal and Non-Disposal,Permitted,37.44932,-122.1074,No,City Of Palo Alto,8/16/1994,Chuck Muir,Chuck,Muir,"Manager, Environmental Control Programs",,(650) 496-6979,PO Box 10250,Palo Alto,CA,94303,Santa Clara
43-AA-0014,Palo Alto Composting Facility,Absorbed,Non-Disposal Only,Permitted,37.45667,-122.10472,Yes,City Of Palo Alto,10/10/1996,Chuck Muir,Chuck,Muir,"Manager, Environmental Control Programs",,(650) 496-6979,PO Box 10250,Palo Alto,CA,94303,Santa Clara
33-AA-0228,Eagle Mountain Landfill,Planned,Disposal Only,Surrendered,33.71667,-115.4,Yes,Mine Reclamation Corporation,8/16/1994,Orlo Anderson,Orlo,Anderson,Site Manager,,(909) 483-8500,3633 East Inland Empire Ste. 480,Ontario,CA,,Riverside
52-AA-0021,Tehama County Recycling,Closed,Non-Disposal Only,Surrendered,40.18333,-122.23333,Yes,Red Bluff Disposal                      ,8/16/1994,Jerry Arbini,Jerry,Arbini,President,,(916) 529-0166,1325 Schwab St,Red Bluff,CA,96080,Tehama
19-AA-0874,Los Angeles City Energy Recovery Project,Planned,Disposal Only,Proposed,34,-118.21667,Yes,City Of Los Angeles Bureau Of Sanitation,4/9/1996,Paul Blount,Paul,Blount,Division Manager,,(800) 773-2489,11950 Lopez Canyon Rd,Lake View Terrace,CA,91342,Los Angeles
19-AR-5574,Dorris Place Transfer Station,Closed,Non-Disposal Only,Notification,34.05,-118.25,Yes,City Of Los Angeles Bureau Of Sanitation,9/24/1997,Paul Blount,Paul,Blount,Division Manager,,(800) 773-2489,11950 Lopez Canyon Rd,Lake View Terrace,CA,91342,Los Angeles
19-AR-5576,South Yard Lvto,Closed,Non-Disposal Only,Surrendered,34.05,-118.25,Yes,City Of Los Angeles Bureau Of Sanitation,1/20/1998,Paul Blount,Paul,Blount,Division Manager,,(800) 773-2489,11950 Lopez Canyon Rd,Lake View Terrace,CA,91342,Los Angeles
19-AA-0855,Griffith Park Composting Facility,Active,Non-Disposal Only,Permitted,34.15055,-118.29833,No,City Of Los Angeles Bureau Of Sanitation,5/8/1996,Paul Blount,Paul,Blount,Division Manager,,(800) 773-2489,11950 Lopez Canyon Rd,Lake View Terrace,CA,91342,Los Angeles
19-AA-0820,Lopez Canyon Sanitary Landfill,Closed,Disposal Only,Permitted,34.29371,-118.39155,No,City Of Los Angeles Bureau Of Sanitation,8/16/1994,Paul Blount,Paul,Blount,Division Manager,,(800) 773-2489,11950 Lopez Canyon Rd,Lake View Terrace,CA,91342,Los Angeles
19-AR-5583,Harbor Composting Facility,Closed,Non-Disposal Only,Notification,33.76889,-118.24306,Yes,City Of Los Angeles Bureau Of Sanitation,7/12/1999,Paul Blount,Paul,Blount,Division Manager,,(800) 773-2489,11950 Lopez Canyon Rd,Lake View Terrace,CA,91342,Los Angeles
19-AR-5585,Western District Satellite Yard,Closed,Non-Disposal Only,Permitted,34.02046,-118.38021,Yes,City Of Los Angeles Bureau Of Sanitation,7/22/1999,Paul Blount,Paul,Blount,Division Manager,,(800) 773-2489,11950 Lopez Canyon Rd,Lake View Terrace,CA,91342,Los Angeles
13-AA-0022,Monofill Facility,Active,Disposal Only,Permitted,33.08472,-115.82444,No,Desert Valley Co.,8/16/1994,Sam Rubin,Sam,Rubin,Vice President,,(760) 348-4096,Cal Energy - Desert Valley Co 7030 Gentry Road,Calipatria,CA,92233,Imperial
35-AA-0011,Circle A Ranch                          ,Closed,Disposal Only,Exempt,35.49591,-116.14161,Yes,Carney Land Co                          ,8/16/1994,Otis Carney,Otis,Carney,Owner,,(408) 385-3728,Old Coalinga Road,Paicines,CA,95043,San Benito
49-AA-0251,Unocal Geothermal 27-2,Closed,Disposal Only,Exempt,38.7,-122.9,Yes,Unocal Geothermal                       ,4/25/1996,A.J. Chasteen,A.J.,Chasteen,District Operations Manager,,(707) 545-7600,PO Box 6854,Santa Rosa,CA,95406,Sonoma
49-AA-0060,Unocal Geothermal Well Mud Sump,Closed,Disposal Only,Unpermitted,38.7,-122.9,Yes,Unocal Geothermal                       ,5/22/1996,A.J. Chasteen,A.J.,Chasteen,District Operations Manager,,(707) 545-7600,PO Box 6854,Santa Rosa,CA,95406,Sonoma
49-AA-0147,Drilling Mud Disposal Facility,Inactive,Disposal Only,Exempt,38.81778,-122.77139,Yes,Unocal Geothermal                       ,8/16/1994,A.J. Chasteen,A.J.,Chasteen,District Operations Manager,,(707) 545-7600,PO Box 6854,Santa Rosa,CA,95406,Sonoma
49-AA-0365,Unocal Of 27-2                          ,Closed,Disposal Only,Exempt,38.76139,-122.81944,No,Unocal Geothermal                       ,3/1/1995,A.J. Chasteen,A.J.,Chasteen,District Operations Manager,,(707) 545-7600,PO Box 6854,Santa Rosa,CA,95406,Sonoma
30-AB-0026,City Of Huntington Beach Landfill,Closed,Disposal Only,Pre-regulation,33.7074,-117.9981,No,City Of Huntington Beach,8/16/1994,Denny Bacon,Denny,Bacon,Director Of Public Works,,(714) 536-5431,PO Box 190,Huntington Beach,CA,92648,Orange
30-CR-0122,City Of Huntington Beach,Closed,Disposal Only,Pre-regulation,33.66667,-117.98333,Yes,City Of Huntington Beach,8/21/1995,Denny Bacon,Denny,Bacon,Director Of Public Works,,(714) 536-5431,PO Box 190,Huntington Beach,CA,92648,Orange
45-AA-0008,Fall River Mills Transfer Station,Active,Non-Disposal Only,Notification,40.9917,-121.429,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0015,Enterprise Transfer Station,Closed,Non-Disposal Only,Permitted,40.55648,-122.29383,Yes,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0004,Anderson (Cambridge) Site,Closed,Disposal Only,Pre-regulation,40.42333,-122.36333,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0002,Old Shasta Transfer Station,Active,Non-Disposal Only,Notification,40.59392,-122.48105,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0004,Round Mountain Transfer Station,Active,Non-Disposal Only,Notification,40.79702,-121.93284,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0007,Fall River Mills Disposal Site,Closed,Disposal Only,Pre-regulation,41,-121.43333,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0011,Igo-Ono Disposal Site,Closed,Disposal Only,Pre-regulation,40.48239,-122.548,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0011,French Gulch Transfer Station,Active,Non-Disposal Only,Notification,40.71533,-122.63388,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0012,Lakehead Transfer Station,Active,Non-Disposal Only,Notification,40.89848,-122.38508,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0057,Buckeye Transfer Station,Active,Non-Disposal Only,Notification,40.67003,-122.39719,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0014,Old Station Disposal Site,Closed,Disposal Only,Pre-regulation,40.68333,-121.43333,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0015,Platina Disposal Site,Closed,Disposal Only,Pre-regulation,40.36667,-122.91167,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0005,Big Bend Transfer Station,Closed,Non-Disposal Only,Surrendered,41.00444,-121.91444,Yes,County Of Shasta Public Works Department,2/15/1995,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0007,Platina Transfer Station,Active,Non-Disposal Only,Notification,40.37076,-122.9343,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0014,Buckeye Disposal Site,Closed,Disposal Only,Surrendered,40.67,-122.39667,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0016,Anderson-Cottonwood Transfer Station,Closed,Non-Disposal Only,Surrendered,40.41639,-122.36,Yes,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0009,Igo-Ono TS,Closed,Non-Disposal Only,Surrendered,40.48333,-122.61667,Yes,County Of Shasta Public Works Department,2/15/1995,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0010,Shingletown Transfer Station,Active,Non-Disposal Only,Notification,40.51652,-121.80351,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0013,Hat Creek TS,Closed,Non-Disposal Only,Permitted,40.78278,-121.50195,Yes,County Of Shasta Public Works Department,2/15/1995,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0016,Round Mountain Disposal Site,Closed,Disposal Only,Pre-regulation,40.795,-121.94,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0017,Shingletown Disposal Site,Closed,Disposal Only,Pre-regulation,40.48333,-121.88333,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0001,Burney Transfer Station,Active,Non-Disposal Only,Permitted,40.90296,-121.64599,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0003,Clear Creek Transfer Station            ,Closed,Non-Disposal Only,Surrendered,40.50583,-122.41833,Yes,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0006,Enterprise Disposal Site,Closed,Disposal Only,Pre-regulation,40.55,-122.29833,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0008,French Gulch Disposal Site              ,Closed,Disposal Only,Pre-regulation,40.71167,-122.63333,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0006,Whitmore Transfer Station,Active,Non-Disposal Only,Notification,40.62547,-121.91419,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0002,Big Bend Disposal Site,Closed,Disposal Only,Pre-regulation,41.00519,-121.91356,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0013,Old Shasta Disposal Site                ,Closed,Disposal Only,Pre-regulation,40.59667,-122.48667,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0020,Whitmore Disposal Site,Closed,Disposal Only,Pre-regulation,40.62833,-121.91167,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-AA-0043,West Central Landfill,Active,Disposal Only,Permitted,40.48156,-122.53498,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0003,Burney Disposal Site,Closed,Disposal Only,Pre-regulation,40.88333,-121.63167,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0005,Clear Creek Disposal Site,Closed,Disposal Only,Pre-regulation,40.50438,-122.4238,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0010,Hat Creek Disposal Site,Closed,Disposal Only,Pre-regulation,40.78333,-121.5,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
45-CR-0012,Lakehead Disposal Site                  ,Closed,Disposal Only,Pre-regulation,40.9,-122.38333,No,County Of Shasta Public Works Department,8/16/1994,Patrick Mintern,Patrick,Mintern,Director,,(530) 225-5661,1855 Placer Street,Redding,CA,96001,Shasta
10-AA-0027,Mendota Solid Waste Transfer Station,Closed,Both Disposal and Non-Disposal,Migration NULL,36.76667,-120.36667,Yes,City Of Mendota                         ,8/16/1994,Richard Deming,Richard,Deming,City Manager,,(209) 655-4298,643 Quince St,Mendota,CA,93640,Fresno
12-AA-0003,Loleta Sanitary District Disposal Plant,Planned,Disposal Only,Proposed,40.65,-124.21667,Yes,City Of Loleta Sanitary District        ,8/16/1994,Richard Diamond,Richard,Diamond,Operator Ii,,(707) 733-5736,PO Box 236,Loleta,CA,95551,Humboldt
15-AA-0150,"Main Base Sanitary Landfill, Edwards AFB",Active,Both Disposal and Non-Disposal,Permitted,34.95605,-117.95627,No,"Department Of Defense, USAf-Afftc",8/16/1994,Melissa Malakos,Melissa,Malakos,,,(661) 277-2910,225 N Rosamond Blvd Bldg 3500,Edwards Afb,CA,93524-8502,Kern
15-AA-0317,Edwards AFB Composting Facility,Closed,Non-Disposal Only,Surrendered,34.9545,-117.952,Yes,"Department Of Defense, USAf-Afftc",3/25/1996,Melissa Malakos,Melissa,Malakos,,,(661) 277-2910,225 N Rosamond Blvd Bldg 3500,Edwards Afb,CA,93524-8502,Kern
33-AA-0224,George Engelauf Landfill,To be Determined,Disposal Only,Exempt,33.99494,-117.37253,Yes,"Engelauf, George                        ",8/16/1994,George Engelauf,George,Engelauf,,,(909) 684-1025,PO Box 3708,Riverside,CA,92519,Riverside
36-AA-0307,Green Acres Memorial Park               ,Closed,Disposal Only,Unpermitted,34.06667,-117.4,Yes,Green Acres Memorial Park & Mortuary    ,8/16/1994,Fran Fossler,Fran,Fossler,Area Manager,,(714) 825-3024,PO Box 448,Bloomington,CA,92316,San Bernardino
33-AA-0030,Banning-Cabazon Cemetary                ,To be Determined,Non-Disposal Only,Exempt,33.93333,-116.86667,Yes,Banning-Cabazon Cemetery                ,8/16/1994,Melvin D. Foster,Melvin D.,Foster,,,(714) 849-3725,PO Box 153,Banning,CA,92220,Riverside
07-AA-0030,Kirker Pass Waste Management Landfill   ,Planned,Disposal Only,Unpermitted,37.98333,-122.03333,Yes,Land Waste Management                   ,8/16/1994,Tom Gentry,Tom,Gentry,,,,PO Box 799,Alamo,CA,94507,Contra Costa
28-AA-0034,Steele Canyon Road Transfer Operation,Active,Non-Disposal Only,Notification,38.45129,-122.184,No,"Berryessa Garbage Service, Inc",8/14/1997,Thomas Gomez,Thomas,Gomez,President,,(707) 226-5107,6095 Monticello Rd,Napa,CA,94558,Napa
28-AA-0003,Berryessa Garbage Service Disposal Site,Closed,Disposal Only,Permitted,38.452,-122.1829,No,"Berryessa Garbage Service, Inc",8/16/1994,Thomas Gomez,Thomas,Gomez,President,,(707) 226-5107,6095 Monticello Rd,Napa,CA,94558,Napa
49-AA-0376,"Gong, Fulton Property                   ",Closed,Disposal Only,Exempt,38.5,-122.76667,Yes,Gong                                    ,4/25/1996,Robert Gong,Robert,Gong,,,(707) 528-0239,1211 W College Ave,Santa Rosa,CA,95401,Sonoma
27-AA-0012,San Antonio South Shore Disposal Site,Closed,Disposal Only,Permitted,35.83333,-120.97167,No,County Of Monterey Parks Dept,8/16/1994,Tom Shepard,Tom,Shepard,Assistant Superintendent,,(805) 472-2311,PO Box 5249,Salinas,CA,93915,Monterey
34-AC-0002,Folsom Materials Recovery & Composting,Closed,Non-Disposal Only,Migration NULL,38.68972,-121.15611,Yes,"Prison Industry Authority, St. Of Calif.",8/16/1994,Tim Linn,Tim,Linn,Manager,,(916) 358-2669,560 East Natoma Street,Folsom,CA,95630,Sacramento
39-AA-0010,Cove Contractors,Closed,Disposal Only,Permitted,37.9171,-121.27607,No,"Cove Contractors, Inc",8/16/1994,Andrew Keller,Andrew,Keller,Owner,,(310) 948-3566,379 Costa Mesa St,Costa Mesa,CA,92627,San Joaquin
36-AA-0080,West Seventh Street Disposal Site       ,Closed,Disposal Only,Not Currently Regulated,34.11667,-117.3,Yes,"Hubbs, Donald C., Inc                   ",8/16/1994,Donald Hubbs,Donald,Hubbs,President,,(714) 875-1161,150 S Larch Ave,Rialto,CA,92376,San Bernardino
19-AA-0016,City Of Alhambra TS,To be Determined,Non-Disposal Only,Pre-regulation,34.1,-118.13333,Yes,City Of Alhambra                        ,5/15/1996,Terry L. James,Terry L.,James,Director Of Public Works,,(818) 570-5067,111 S 1st St,Alhambra,CA,91801,Los Angeles
19-AA-0839,Alhambra Roll-Off Bin Transfer Station,Active,Non-Disposal Only,Notification,34.08434,-118.10891,No,City Of Alhambra                        ,8/16/1994,Terry L. James,Terry L.,James,Director Of Public Works,,(818) 570-5067,111 S 1st St,Alhambra,CA,91801,Los Angeles
19-AA-5276,City Of Alhambra Landfill,Closed,Disposal Only,Pre-regulation,34.0908,-118.1187,No,City Of Alhambra                        ,10/10/1996,Terry L. James,Terry L.,James,Director Of Public Works,,(818) 570-5067,111 S 1st St,Alhambra,CA,91801,Los Angeles
40-AA-0008,Chicago Grade Landfill,Active,Both Disposal and Non-Disposal,Permitted,35.52333,-120.63028,No,"Chicago Grade Landfill, Inc.",8/16/1994, ,,,,,(805) 466-2985,2290 Homestead Road,Templeton,CA,93465,San Luis Obispo
28-AA-0025,Bar 49 Ranch - Solid Waste Disposal Site,Closed,Disposal Only,Unpermitted,38.5602,-122.3744,Yes,Vintage Ranch Property                  ,8/16/1994,Ed Keith,Ed,Keith,,,(707) 226-9901,575 Lincoln Avenue,Napa,CA,94559,Napa
35-AA-0008,Domestic Waste Treatment Facility,Closed,Disposal Only,Exempt,36.84861,-121.43278,Yes,City Of Hollister                       ,8/16/1994,Jack La Porte,Jack,La Porte,Director Of Public Works,,(408) 637-8247,375 5th St,Hollister,CA,95023,San Benito
