SWIS Number ,Site Name,Activity,Activity Is Archived,OperationalStatus,RegulatoryStatus,Category,Activity Classification,WDRNo,WDR Landfill Class,Cease Operation,Cease Operation Type,Inspection Frequency,Throughput,ThroughputUnits,RemainingCapacity,Remaining Capacity Date,Capacity,CapacityUnits,Total Acreage,DisposalAcreage,Permitted Elevation,Permitted Elevation Type,Permitted Depth,Permitted Depth Type,Point of Contact,Site Operational Status,Site Regulatory Status,Site Is Archived,IsClosedIllegalAbandoned,IsSiteInertDebrisEngineeredFill,IsFinancialAssurancesResponsible,Absorbed On,Absorbed By,ClosedIllegalAbandonedCategory,EPA Federal Registry ID,Latitude,Longitude,Site ZIP Code,County,ARB District,SWRCB Region,Local Government,Street Address,City,State,ZIP Code,Reporting Agency Legal Name,Reporting Agency Department,Enforcing Agency Legal Name,Enforcing Agency Department
27-AA-0013,Hunter Liggett Sanitary Landfill        ,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,,,,,,,Angela Gomez,Closed,Permitted,No,Yes,No,No,,,C3,,35.97667,-121.215,93932,Monterey,Monterey Bay Unified,Central Coast,Monterey County (Unincorporated),Off Mission Road,Jolon,CA,93932,County of Monterey,"County Health Department,  Environmental Health Bureau",County of Monterey,"County Health Department,  Environmental Health Bureau"
27-AA-0014,Fort Ord Demolition Landfill            ,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,,,,None,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Permitted,No,Yes,No,No,,,C1,,36.66333,-121.78333,93933,Monterey,Monterey Bay Unified,Central Coast,Monterey County (Unincorporated),Fort Ord,Fort Ord,CA,93933,County of Monterey,"County Health Department,  Environmental Health Bureau",County of Monterey,"County Health Department,  Environmental Health Bureau"
27-AA-0085,Gabilan Ag Services,Composting Facility (Mixed),No,Active,Permitted,Composting,Solid Waste Facility,,,,,Monthly,500,Tons per day,,,200000,Cubic Yards per year,59.4,,,,,,Eric Kiruja,Active,Permitted,No,No,No,No,,,,,36.716,-121.77222,93933,Monterey,Monterey Bay Unified,Central Coast,Marina,14201 Del Monte Blvd,Marina,CA,93933,County of Monterey,"County Health Department,  Environmental Health Bureau",County of Monterey,"County Health Department,  Environmental Health Bureau"
27-CR-0007,Veteran`s Memorial Park Landfill,Inert Waste Disposal Site,No,Closed,Not Currently Regulated,Disposal,Solid Waste Facility,,,,,None,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Not Currently Regulated,No,Yes,No,No,,,D,,36.60278,-121.91417,93940,Monterey,Monterey Bay Unified,Central Coast,Monterey,Jefferson Street Extension,Monterey,CA,93940,County of Monterey,"County Health Department,  Environmental Health Bureau",County of Monterey,"County Health Department,  Environmental Health Bureau"
28-AA-0029,Napa Valley College,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Quarterly,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Unpermitted,No,Yes,No,No,,,C1,,38.2791,-122.275,99999,Napa,Bay Area,San Francisco Bay,Napa,2277 Napa-Vallejo Hwy.,Napa,CA,99999,County of Napa,"Planning Building & Environmt'l Services,  Local Enforcement Agency",County of Napa,"Planning Building & Environmt'l Services,  Local Enforcement Agency"
28-AA-0030,City of Napa Material Diversion Facility,Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,360,Tons per day,,,360,Tons per day,6,,,,,,Kate Whitney,Active,Permitted,No,No,No,No,,,,,38.20969,-122.26421,94558,Napa,Bay Area,San Francisco Bay,Napa,820 Levitin Way,Napa,CA,94558,County of Napa,"Planning Building & Environmt'l Services,  Local Enforcement Agency",County of Napa,"Planning Building & Environmt'l Services,  Local Enforcement Agency"
28-AA-0030,City of Napa Material Diversion Facility,Composting Facility (Mixed),No,Active,Permitted,Composting,Solid Waste Facility,,,,,Monthly,90000,Cubic Yards,,,400,Tons per day,,,,,,,Kate Whitney,Active,Permitted,No,No,No,No,,,,,38.20969,-122.26421,94558,Napa,Bay Area,San Francisco Bay,Napa,820 Levitin Way,Napa,CA,94558,County of Napa,"Planning Building & Environmt'l Services,  Local Enforcement Agency",County of Napa,"Planning Building & Environmt'l Services,  Local Enforcement Agency"
29-AA-0004,Washington Transfer Station,Medium Volume Transfer/Processing Facility    ,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,30,Cubic Yards per Day,,,30,Cubic Yards,1,,,,,,Kate Whitney,Active,Permitted,No,No,No,No,,,,,39.36127,-120.79312,95959,Nevada,Northern Sierra,Central Valley,Nevada County (Unincorporated),15886 Gaston Rd; 1 Mi E Washington,Washington,CA,95959,County of Nevada,Department of Environmental Health,County of Nevada,Department of Environmental Health
29-AA-0009,Grass Valley Burn Dump,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Annual,,,,,,,,,,,,,Angela Gomez,Closed,Unpermitted,No,Yes,No,No,,,C3,,39.17106,-121.12813,95949,Nevada,Northern Sierra,Central Valley,Grass Valley,15782 Mc Courtney Road,Grass Valley,CA,95949,County of Nevada,Department of Environmental Health,County of Nevada,Department of Environmental Health
30-AB-0013,Stanton Recycling and Transfer Facility,Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,1800,Tons per day,,,3600,Tons per day,11,,,,,,Megan Emslander,Active,Permitted,No,No,No,No,,,,,33.79982,-118.00662,90680,Orange,South Coast,Santa Ana,Stanton,11232 Knott Ave.,Stanton,CA,90680,County of Orange,"Health Care Agency,  Environmental Health Division",County of Orange,"Health Care Agency,  Environmental Health Division"
30-AB-0013,Stanton Recycling and Transfer Facility,Chipping and Grinding Facility/Operation,No,Closed,Surrendered,Composting,Solid Waste Facility,,,11/9/2012,Actual,None,,,,,,,,,,,,,Megan Emslander,Active,Permitted,No,No,No,No,,,,,33.79982,-118.00662,90680,Orange,South Coast,Santa Ana,Stanton,11232 Knott Ave.,Stanton,CA,90680,County of Orange,"Health Care Agency,  Environmental Health Division",County of Orange,"Health Care Agency,  Environmental Health Division"
30-AB-0014,Gothard Street Landfill,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1987,Estimated,Quarterly,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C1,,33.7074,-117.999,92647,Orange,South Coast,Santa Ana,Huntington Beach,18131 Gothard Street,Huntington Beach,CA,92647,County of Orange,"Health Care Agency,  Environmental Health Division",County of Orange,"Health Care Agency,  Environmental Health Division"
30-AB-0099,"Rainbow Transfer/Recycling Company, Inc.",Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,4000,Tons per day,,,,Tons per day,17.6,,,,,,Megan Emslander,Active,Permitted,No,No,No,No,,,,,33.71373,-117.9966,92647,Orange,South Coast,Santa Ana,Huntington Beach,17121 Nichols Street,Huntington Beach,CA,92647,County of Orange,"Health Care Agency,  Environmental Health Division",County of Orange,"Health Care Agency,  Environmental Health Division"
30-AB-0099,"Rainbow Transfer/Recycling Company, Inc.",Chipping and Grinding Facility/Operation,No,Active,Permitted,Composting,Solid Waste Facility,,,,,Monthly,,,,,,,,,,,,,Megan Emslander,Active,Permitted,No,No,No,No,,,,,33.71373,-117.9966,92647,Orange,South Coast,Santa Ana,Huntington Beach,17121 Nichols Street,Huntington Beach,CA,92647,County of Orange,"Health Care Agency,  Environmental Health Division",County of Orange,"Health Care Agency,  Environmental Health Division"
30-CR-0058,San Joaquin Landfill,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1961,Estimated,Quarterly,,,,,,,32,0,,,,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,A1,,33.65428,-117.86171,96212,Orange,South Coast,Santa Ana,Irvine,Se Corner Of Macarthur & Fairchild Rd,Irvine,CA,96212,County of Orange,"Health Care Agency,  Environmental Health Division",County of Orange,"Health Care Agency,  Environmental Health Division"
30-CR-0059,Santa Ana City Dump,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Annual,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C2,,33.73152,-117.91373,92704,Orange,South Coast,Santa Ana,Santa Ana,W  Bnk Of Snta Ana Rvr Mcfadden & Ednger,Santa Ana,CA,92704,County of Orange,"Health Care Agency,  Environmental Health Division",County of Orange,"Health Care Agency,  Environmental Health Division"
30-CR-0108,Perimeter Rd LF (El Toro MCAS Site 5),Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C1,,33.66539,-117.70924,92618,Orange,South Coast,Santa Ana,Orange County (Unincorporated),Perimeter Rd. And Irvine Blvd.,El Toro Air Station,CA,92618,County of Orange,"Health Care Agency,  Environmental Health Division",County of Orange,"Health Care Agency,  Environmental Health Division"
30-CR-0126,Newport Beach City Yard Dump,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Annual,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C2,,33.63173,-117.92728,92627,Orange,South Coast,Santa Ana,Newport Beach,592 Superior Ave @ Industrial Way,Newport Beach,CA,92627,County of Orange,"Health Care Agency,  Environmental Health Division",County of Orange,"Health Care Agency,  Environmental Health Division"
30-CR-0158,Pacific Avenue Landfill,Solid Waste Disposal Site          ,No,Closed,To Be Determined,Disposal,Solid Waste Disposal Site,,,,,Quarterly,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,TBD (Pending Investigation) ,No,Yes,No,No,,,B1,,33.7188,-117.88798,92627,Orange,South Coast,Santa Ana,Costa Mesa,2193-2195 Pacific Avenue,Costa Mesa,CA,92627,County of Orange,"Health Care Agency,  Environmental Health Division",County of Orange,"Health Care Agency,  Environmental Health Division"
31-AA-0550,City Of Colfax Landfill,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,II,7/1/1988,Estimated,Quarterly,4800,Tons per week,,,,,16,0,,,,,Rachel Beck,Closed,Permitted,No,Yes,No,Yes,,,C2,1.10014E+11,39.0924,-120.9408,95713,Placer,Placer,Central Valley,Colfax,Iowa Hill Road,Colfax,CA,95713,County of Placer,"Department of Health & Human Services,  Environmental Health Services",County of Placer,"Department of Health & Human Services,  Environmental Health Services"
31-AA-0560,Eastern Regional Landfill,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,III,10/1/1994,Actual,Quarterly,105,Tons per day,0,,0,,101,0,6200,,0,,Rachel Beck,Closed,Permitted,No,Yes,No,Yes,,,C1,,39.29556,-120.21537,96161,Placer,Placer,Lahontan,Placer County (Unincorporated),End Of Cabin Creek Rd Off Hwy 89,Alpine Meadows,CA,96161,County of Placer,"Department of Health & Human Services,  Environmental Health Services",County of Placer,"Department of Health & Human Services,  Environmental Health Services"
31-CR-0019,Serene Lakes,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Annual,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Unpermitted,No,Yes,No,No,,,C1,,39.29211,-120.38536,95715,Placer,Placer,Central Valley,Placer County (Unincorporated),Off Serene Rd. S of Lake Dulzura,Emigrant Gap,CA,95715,County of Placer,"Department of Health & Human Services,  Environmental Health Services",County of Placer,"Department of Health & Human Services,  Environmental Health Services"
32-AA-0022,Chester/Lake Almanor Solid Waste T.S.,Medium Volume Transfer/Processing Facility    ,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,40,Tons per day,,,12000,Tons per year,3.8,,,,,,Kate Whitney,Active,Permitted,No,No,No,No,,,,,40.30615,-121.14326,96020,Plumas,Northern Sierra,Central Valley,Plumas County (Unincorporated),Hwy 36 & County Road 322- 4 Mi E Chester,Chester,CA,96020,County of Plumas,Environmental Health Department,County of Plumas,Environmental Health Department
32-CR-0009,La Porte LF,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1974,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C2,,39.68167,-120.98333,95981,Plumas,Northern Sierra,Central Valley,Plumas County (Unincorporated),S16 T21n R9e Mdb&M,La Porte,CA,95981,County of Plumas,Environmental Health Department,County of Plumas,Environmental Health Department
32-CR-0012,Sloat LF,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,1/1/1969,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C2,,39.87333,-120.73,96103,Plumas,Northern Sierra,Central Valley,Plumas County (Unincorporated),S10 T23n R13e Mdb&M,Sloat,CA,96103,County of Plumas,Environmental Health Department,County of Plumas,Environmental Health Department
32-CR-0013,Tobin Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,1/1/1978,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C1,,39.935,-121.30397,95971,Plumas,Northern Sierra,Central Valley,Plumas County (Unincorporated),"S16 T24n R6e Mdb&M, Hwy 70  Prcl 02-026",Tobin,CA,95971,County of Plumas,Environmental Health Department,County of Plumas,Environmental Health Department
32-CR-0027,Twain Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,1/1/1978,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C2,,40.02494,-121.0695,96020,Plumas,Northern Sierra,Central Valley,Plumas County (Unincorporated),"Hwy 70, Sec. 22, T25n, R7e, Mdm.",Twain (Grays Flat),CA,96020,County of Plumas,Environmental Health Department,County of Plumas,Environmental Health Department
33-AA-0001,Tequesquite LF/Riverside City Landfill,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,0,0,,,,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C2,,33.9703,-117.4113,92501,Riverside,South Coast,Santa Ana,Riverside,6253 Tequesquite Avenue,Riverside,CA,92501,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-AA-0018,Pinon Flats Transfer Station Lim Vol Op.,Limited Volume Transfer Operation,No,Active,Notification,Transfer/Processing,Solid Waste Operation,,,,,Quarterly,3,Tons per day,,,14,Tons per day,2.7,,,,,,Theodore Tasiopoulos,Active,Notification,No,Yes,No,No,,,C2,,33.57923,-116.45048,92561,Riverside,South Coast,Colorado River,Riverside County (Unincorporated),Pinon Flats Transfer Station Rd,Mountain Center,CA,92561,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-AA-0128,Belltown I,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,12/31/1967,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Unpermitted,No,Yes,No,No,,,C2,1.10014E+11,34.01157,-117.38948,92509,Riverside,South Coast,Santa Ana,Riverside,Hall Ave. and 26th St,Riverside,CA,92509,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-AA-0256,Sam Jones Landfill (and Mine),Inert Debris Engineered Fill Operation,No,Active,Notification,Disposal,Solid Waste Operation,,UC,,,Quarterly,200,Cubic Yards per Day,1000000,5/2/2006,1200,Cubic Yards per Day,40,30.6,,,,,Theodore Tasiopoulos,Active,Notification,No,No,Yes,No,,,,,33.8469,-116.4097,92276,Riverside,South Coast,Colorado River,Riverside County (Unincorporated),27925 Rio Del Sol Rd,Thousand Palms,CA,92276,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-AA-0258,Robert A Nelson Transfer Station & MRF,Chipping and Grinding Facility/Operation,No,Active,Permitted,Composting,Solid Waste Facility,,,,,Monthly,,,,,,,,,,,,,Theodore Tasiopoulos,Active,Permitted,No,No,No,No,,,,,34.02205,-117.38157,92509,Riverside,South Coast,Santa Ana,Riverside,1830 Agua Mansa Rd,Riverside,CA,92509,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-AA-0258,Robert A Nelson Transfer Station & MRF,Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,4000,Tons per day,,,4000,Tons per day,22,,,,,,Theodore Tasiopoulos,Active,Permitted,No,No,No,No,,,,,34.02205,-117.38157,92509,Riverside,South Coast,Santa Ana,Riverside,1830 Agua Mansa Rd,Riverside,CA,92509,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-AA-0258,Robert A Nelson Transfer Station & MRF,Small Volume CDI Debris Processing Operation,No,Active,Permitted,Transfer/Processing,Solid Waste Operation,,,,,Monthly,,,,,,,,,,,,,Theodore Tasiopoulos,Active,Permitted,No,No,No,No,,,,,34.02205,-117.38157,92509,Riverside,South Coast,Santa Ana,Riverside,1830 Agua Mansa Rd,Riverside,CA,92509,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-AA-0258,Robert A Nelson Transfer Station & MRF,Composting Facility (Mixed),No,Planned,Permitted,Composting,Solid Waste Facility,,,,,Monthly,,,,,,,,,,,,,Theodore Tasiopoulos,Active,Permitted,No,No,No,No,,,,,34.02205,-117.38157,92509,Riverside,South Coast,Santa Ana,Riverside,1830 Agua Mansa Rd,Riverside,CA,92509,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-CR-0003,Cabazon,Solid Waste Disposal Site          ,No,Closed,To Be Determined,Disposal,Solid Waste Disposal Site,,,,,Quarterly,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,TBD (Pending Investigation) ,No,Yes,No,No,,,C3,,33.90768,-116.76488,92230,Riverside,South Coast,Colorado River,Riverside County (Unincorporated),"Olive & Delores St,Lot 266 Cabazon Ranch",Cabazon,CA,92230,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-CR-0017,Thermal,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1972,Estimated,Quarterly,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C2,,33.6184,-116.13791,92274,Riverside,South Coast,Colorado River,Riverside County (Unincorporated),S.Side Of 59th Ave. Btwn Fillmore & Polk,Thermal,CA,92274,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-CR-0018,Valle Vista,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,12/31/1957,Estimated,Quarterly,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Unpermitted,No,Yes,No,No,,,C2,,33.4544,-116.53589,92544,Riverside,South Coast,Colorado River,Riverside County (Unincorporated),Corner Of Cedar Ave And Chigago Ave.,Valle Vista,CA,92544,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-CR-0035,Wade Landfill,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1965,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C2,,33.8998,-117.3532,92506,Riverside,South Coast,Santa Ana,Riverside,11749 Roberts Road,Riverside,CA,92506,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
33-CR-0036,Beaumont LF,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1972,Estimated,Quarterly,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C2,,33.55454,-116.59521,92223,Riverside,South Coast,San Diego,Beaumont,"4th Street, Sec 9 T3s R1w",Beaumont,CA,92223,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
34-AA-0006,Aerojet Rocketdyne Inc.,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,II,1/1/1993,Actual,Annual,10,Tons per day,0,,0,,55,0,0,,0,,Rachel Beck,Closed,Permitted,No,Yes,No,Yes,,,C3,,38.63467,-121.1765,95742,Sacramento,Sacramento Metro,Central Valley,Rancho Cordova,3 Mi S Folsom; 1/2 Mi S Hwy 50,Rancho Cordova,CA,95742,County of Sacramento,"Environmental Management Department,  Environmental Compliance Division",County of Sacramento,"Environmental Management Department,  Environmental Compliance Division"
36-AA-0005,City Of Upland Disposal Site,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Quarterly,0,,0,,0,,0,0,0,,0,,Dawn Liang,Closed,Unpermitted,No,Yes,No,No,,,C1,,34.11667,-117.64,91786,San Bernardino,South Coast,Santa Ana,Upland,Off Campus Avenue Between 14th & 15th St,Upland,CA,91786,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
36-AA-0040,Daggett Refuse Disposal Site,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Semi-annual,0,,0,,0,,0,0,0,,0,,Dawn Liang,Closed,Unpermitted,No,Yes,No,No,,,C2,,34.845,-116.86833,92327,San Bernardino,Mojave Desert,Lahontan,San Bernardino County (Unincorporated),"Camp Rock Road, 2 Mi S Of Hwy 40",Daggett,CA,92327,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
36-AA-0041,Trona-Argus Refuse Disposal Site,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,III,6/24/2003,Actual,Quarterly,88,Tons per day,301624,7/3/2001,1400000,Cubic Yards,48,22,1922,BGL,20,BGL,"Frank Davies, Jr.",Closed,Permitted,No,Yes,No,Yes,,,C3,,35.75416,-117.39343,93562,San Bernardino,Mojave Desert,Lahontan,San Bernardino County (Unincorporated),83000 1st Street,Trona,CA,93562,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
36-AA-0055,Mid-Valley Sanitary Landfill,Solid Waste Landfill,No,Active,Permitted,Disposal,Solid Waste Facility,,III,4/1/2045,Estimated,Monthly,7500,Tons per day,61219377,6/30/2019,101300000,Cubic Yards,498,408,1750,MSL,,,Megan Emslander,Active,Permitted,No,No,No,Yes,,,,1.10018E+11,34.14328,-117.42752,92377,San Bernardino,South Coast,Santa Ana,Rialto,2390 N. Alder Avenue,Rialto,CA,92377,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
36-AA-0055,Mid-Valley Sanitary Landfill,Chipping and Grinding Facility/Operation,No,Active,Permitted,Composting,Solid Waste Facility,,,,,Quarterly,,,,,,,,,,,,,Megan Emslander,Active,Permitted,No,No,No,Yes,,,,1.10018E+11,34.14328,-117.42752,92377,San Bernardino,South Coast,Santa Ana,Rialto,2390 N. Alder Avenue,Rialto,CA,92377,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
36-AA-0058,Morongo Disposal Site,Solid Waste Disposal Site          ,No,Closed,Surrendered,Disposal,Solid Waste Disposal Site,,II,6/2/1997,Actual,Quarterly,50,Tons per day,28968,7/3/2001,,,75,13,,,,,"Frank Davies, Jr.",Closed,Surrendered,No,Yes,No,Yes,,,C3,,34.05644,-116.55771,92256,San Bernardino,Mojave Desert,Colorado River,San Bernardino County (Unincorporated),1/2 Mi E Of Hwy 62,Morongo Valley,CA,92256,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
36-AA-0382,Sheep Creek Transfer Station,Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,198,Tons per day,,,1600,Cubic Yards,5,,,,,,Megan Emslander,Active,Permitted,No,No,No,No,,,,,34.47667,-117.60802,92371,San Bernardino,Mojave Desert,Lahontan,San Bernardino County (Unincorporated),10130 Buckwheat Road,Phelan,CA,92371,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
36-AA-0399,Clean Bear Site #1,Medium Volume Transfer/Processing Facility    ,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,66,Tons,,,896,Cubic Yards,1.2,,,,,,Megan Emslander,Active,Permitted,No,No,No,No,,,,,34.24501,-116.88502,92314,San Bernardino,South Coast,Santa Ana,Big Bear Lake,41970 Garstin Dr.,Big Bear Lake,CA,92314,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
36-CR-0021,Etiwanda Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Quarterly,0,,0,,0,,0,0,0,,0,,Dawn Liang,Closed,Pre-regulation,No,Yes,No,No,,,C3,,34.12758,-117.50401,92336,San Bernardino,South Coast,Santa Ana,Fontana,south of victoria streetand east of I-15,Fontana,CA,92336,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
36-CR-0022,George AFB Disposal Site LF-14 (L-13),Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,None,,,,,,,38.8,,,,,,Dawn Liang,Closed,Pre-regulation,No,Yes,No,No,,,C3,,34.59912,-117.35761,92394,San Bernardino,Mojave Desert,Lahontan,San Bernardino County (Unincorporated),Eastern portion of base,George Air Force Base,CA,92394,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
36-CR-0040,Superior Lake Range Disposal Site,Solid Waste Disposal Site          ,No,Closed,To Be Determined,Disposal,Solid Waste Disposal Site,,,,,None,,,,,,,,,,,,,Dawn Liang,Closed,TBD (Pending Investigation) ,No,Yes,No,No,,,D,,35.2436,-117.0169,92394,San Bernardino,Mojave Desert,Lahontan,San Bernardino County (Unincorporated),"Several Sections Of T29s, R45e; T30s, R4",Superior Dry Lake,CA,92394,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
37-AA-0017,Duck Pond Landfill Excavation,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,,1/31/1963,Estimated,4 Months,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Permitted,No,Yes,No,No,,,C1,,32.65667,-117.09833,91950,San Diego,San Diego,San Diego,National City,Se Corner 30th St & National City Blvd,National City,CA,91950,County of San Diego,Department of Environmental Health,County of San Diego,Department of Environmental Health
37-AA-0018,Poway Landfill (Inactive)               ,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,,12/31/1975,Estimated,Quarterly,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Permitted,No,Yes,No,No,,,C3,,32.96833,-117.01833,92064,San Diego,San Diego,San Diego,Poway,14900 Block Of Poway Road,Poway,CA,92064,County of San Diego,Department of Environmental Health,County of San Diego,Department of Environmental Health
